Ambient Temperature,Ambient Relative Humidity,Ambient Pressure,Exhaust Vacuum,Total Power,Fuel_Consumption_MMBtu
26.973,38.081463,798.0884,3.7503100000000007,342.592,2912.032
27.581,40.314667,798.0302,3.7503100000000007,338.57899999999995,2877.9214999999995
27.35,40.639374,798.0436,3.7503100000000007,342.659,2912.6015
27.87,40.81465,798.16034,3.7503100000000007,347.414,2953.019
27.321,41.053905,798.0789,3.7503100000000007,347.064,2950.044
28.189,40.07021,798.044,3.7503100000000007,346.103,2941.8755
27.726,39.492752,798.0932,3.7503100000000007,347.036,2949.806
26.771,42.477024,798.044,3.7503100000000007,346.447,2944.7995
26.597,44.18255,798.07666,3.7503100000000007,347.767,2956.0195
26.424,44.802246,798.03156,3.7503100000000007,348.315,2960.6775
26.424,45.2149,798.044,3.7503100000000007,348.306,2960.601
25.961,45.57932,798.044,3.7503100000000007,349.381,2969.7384999999995
25.324,46.132404,798.044,3.7503100000000007,344.204,2925.734
24.832,47.49076,798.2121,3.7503100000000007,347.668,2955.178
24.311,49.181194,798.67596,3.7503100000000007,351.372,2986.662
24.022,50.775127,798.758,3.7503100000000007,347.90700000000004,2957.2095000000004
24.022,51.633995,798.8138,3.7503100000000007,350.306,2977.601
23.53,52.614353,798.7871,3.7503100000000007,352.512,2996.352
23.414,54.230453,798.6818,3.7503100000000007,353.639,3005.9315
22.836,54.902786,798.6913,3.7503100000000007,344.805,2930.8425
22.72,56.42561,798.78064,3.7503100000000007,354.154,3010.309
22.517,57.226555,798.6998,3.7503100000000007,353.372,3003.662
22.286,57.497295,798.6681,3.7503100000000007,354.223,3010.8955
22.286,57.737312,798.9632,3.7503100000000007,353.595,3005.5575
22.286,57.855824,798.7968,3.7503100000000007,353.081,3001.1885
22.431,57.63718,798.7824,3.7503100000000007,353.798,3007.283
22.431,57.00466,798.7963,3.7503100000000007,353.891,3008.0735
22.286,57.01421,798.83276,3.7503100000000007,354.395,3012.3575
21.968,57.637615,798.729,3.7503100000000007,355.246,3019.591
21.707,58.556896,798.8158,3.7503100000000007,353.693,3006.3905
21.707,59.12019,798.75256,3.7503100000000007,355.102,3018.367
21.823,59.19992,798.7294,3.7503100000000007,353.45,3004.325
21.823,59.208607,798.7586,3.7503100000000007,350.461,2978.9185
21.823,59.2692,798.86,3.7503100000000007,347.89,2957.065
21.823,59.31103,798.7164,3.7503100000000007,338.704,2878.984
21.707,59.340263,798.8889,3.7503100000000007,345.272,2934.812
21.389,59.670673,798.7754,3.7503100000000007,346.283,2943.4055
20.984,60.404194,798.79755,3.7503100000000007,356.933,3033.9305
20.984,61.29669,798.93604,3.7503100000000007,350.08,2975.68
20.984,61.294903,798.90094,3.7503100000000007,354.977,3017.3045
20.984,61.327816,798.77106,3.7503100000000007,341.145,2899.7325
25.093,61.524364,798.8606,3.7503100000000007,340.72400000000005,2896.1540000000005
20.694,61.944427,798.76556,3.7503100000000007,347.957,2957.6345
20.55,62.44994,798.72766,3.7503100000000007,346.994,2949.4490000000005
20.376,62.735676,798.85223,3.7503100000000007,327.722,2785.637
20.376,63.03411,798.67896,3.7503100000000007,266.227,2262.9295
20.058,62.6612,798.79474,3.0002480000000005,242.975,2065.2875
20.058,62.90996,798.83905,3.0002480000000005,239.882,2038.997
20.058,62.70369,798.7841,3.0002480000000005,238.307,2025.6095
19.826,62.46118,798.7867,3.0002480000000005,242.748,2063.358
19.826,62.68144,798.7731,3.0002480000000005,241.087,2049.2395
19.826,62.539097,798.76294,3.0002480000000005,236.84,2013.14
19.826,62.413193,798.81885,3.0002480000000005,239.061,2032.0185
19.884,62.078808,798.9263,3.7503100000000007,238.517,2027.3945
19.884,61.905437,798.74036,3.7503100000000007,243.757,2071.9345
19.682,61.99619,798.7023,3.7503100000000007,243.078,2066.163
19.682,62.280907,798.7812,3.7503100000000007,240.758,2046.443
19.682,62.13252,798.7432,3.7503100000000007,240.839,2047.1315
19.537,61.95023,798.8278,3.7503100000000007,242.453,2060.8505
19.537,62.22675,798.8715,3.7503100000000007,246.039,2091.3315
19.334,62.382015,798.8409,3.7503100000000007,250.496,2129.216
19.334,62.618824,798.70154,3.7503100000000007,247.723,2105.6455
19.334,62.83326,798.6908,3.7503100000000007,244.898,2081.633
19.334,62.86968,798.7946,3.7503100000000007,242.374,2060.179
19.248,62.6082,798.77216,3.7503100000000007,248.884,2115.514
19.248,62.715065,798.3209,3.7503100000000007,247.009,2099.5765
19.248,62.59931,798.04474,3.7503100000000007,245.44100000000003,2086.2485
19.248,62.514896,797.9994,3.7503100000000007,246.437,2094.7145
19.363,62.65633,798.0116,3.7503100000000007,246.892,2098.582
19.537,62.679783,798.0412,3.7503100000000007,247.195,2101.1575
19.682,62.444,798.044,3.7503100000000007,242.665,2062.6525
19.942,62.36195,798.02734,3.7503100000000007,238.705,2028.9925
20.839,62.733,797.9873,3.7503100000000007,246.382,2094.247
21.91,62.495495,797.99774,3.7503100000000007,243.5,2069.75
22.431,60.06577,798.044,3.7503100000000007,247.87,2106.895
23.385,56.77384,798.044,3.7503100000000007,286.449,2434.8165
24.398,53.16956,798.044,3.7503100000000007,345.148,2933.758
24.861,46.82998,798.1195,3.7503100000000007,345.437,2936.2145
25.411,43.567196,798.1097,3.7503100000000007,349.081,2967.1885
25.266,42.039917,798.10095,3.7503100000000007,348.636,2963.406
24.948,41.710957,798.0959,3.7503100000000007,341.395,2901.8575
24.601,43.17441,798.11395,3.7503100000000007,348.367,2961.1195
24.311,44.11327,798.0732,3.7503100000000007,346.918,2948.803
24.311,44.78313,798.14075,3.7503100000000007,348.784,2964.664
24.282,43.988415,798.07806,3.7503100000000007,349.527,2970.9795
24.543,43.711937,798.044,3.7503100000000007,350.03700000000003,2975.3145000000004
24.688,43.791027,798.09375,3.7503100000000007,348.14300000000003,2959.2155000000002
25.035,43.239353,798.044,3.7503100000000007,348.044,2958.374
24.89,42.94156,798.0974,3.7503100000000007,348.24,2960.04
20.839,42.652184,798.0496,3.7503100000000007,355.508,3021.818
25.411,42.139473,798.0875,3.7503100000000007,342.008,2907.068
26.047,40.729782,798.044,3.7503100000000007,346.844,2948.174
25.671,40.78949,798.0759,3.7503100000000007,346.464,2944.944
25.324,41.941986,798.044,3.7503100000000007,347.207,2951.2595
26.279,41.942482,798.044,3.7503100000000007,345.698,2938.433
26.453,39.300014,798.143,3.7503100000000007,346.93,2948.905
27.263,38.322006,797.99475,3.7503100000000007,346.551,2945.6835
27.321,37.883663,798.1973,3.7503100000000007,344.815,2930.9275
26.973,37.478798,798.05286,3.7503100000000007,344.636,2929.406
